# YSFHosts.txt
#
# Generated: 2025-06-26 21:01:20 UTC
# by DVRef.com | S. Miller KC1AWV
#
# Format:
# # Designator, Sponsor, Country
# designator;full_name;description;host;port;user_count;

local;local-server;test;127.0.0.1;42000;000
13170;XX-DVRef;DVRef Test Ref;150.136.101.227;42000;000;
02029;GR-CRETE-DV;GR-CRETE-DV;reflector.freedmr.gr;42001;000;
00501;US-Arkansas-CN;Arkansas CN;ysf.k5ain.com;42002;000;
53001;NZ-New-Zealand;(YCS530);fcs530.xreflector.net;42000;000;
31860;US-K9QZX-YSF-REF;Owen County IN;172.236.99.56;42000;000;
20251;GR-XLX251;XLX reflector;xlx251.ddns.net;42000;000;
08000;GB-HARC;HighfieldsARC;www.mw0kec.xyz;42003;000;
40438;US-KK4OVW-TN;KK4OVW-TN YTR;104.56.140.47;42000;000;
13149;US-UTAHDRN-TEST;Utah Test;ammermon.lorexddns.net;42000;000;
01980;GB-GB-M0ADM;M0ADM_M0KKN;67.208.54.142;42010;000;
00500;BR-DV500;Multi DV500;dv500.net;42500;000;
51380;UY-Uruguay-Link;Red UruLink;cx4ae.no-ip.org;42000;000;
31744;US-WWI;WWI YSF;urf.w7iy.net;42000;000;
20223;US-Penn-Link_2;XLX045D;54.85.206.3;42006;000;
07941;US-WMRA;YSF Reflector;wmrasystem.com;42002;000;
40400;FR-SCANIA-TEAM;SCANIA TEAM;87.203.98.249;42007;000;
13124;CA-YSFCHARC;SW Quebec, CA;44.31.14.21;42000;000;
01939;CH-Chablais;multimode ref;relay.zaledia.com;42000;000;
00493;US-URF493;URF/XLX493;urf493.w0chp.radio;42000;000;
31701;US-Trek-Talk;SFARG Trek;45.79.74.165;42002;000;
20218;GR-HELLAS-ADN18;HELLAS-ADNDMR;ysf20218.ddns.net;42000;000;
07923;US-WA3PNY-GW;Wires-X Gate;3.215.215.169;42003;000;
00490;GB-XLX490;Carmarthenars;77.104.180.135;42000;000;
40364;US-KAPIHAN-ANLG;kapihan.net;130.51.20.196;42001;000;
13111;DE-SAXONIA;YSF Sachsen;ysf02.bzsax.de;42001;000;
01923;TR-URFTUR;URFTUR;echo.pistar.com.tr;42000;000;
00071;BR-SP-VW;SP-VW;vw.c4fm.com.br;42002;000;
51500;PH-DX8WMG;MOARC, Inc.;dx8wmg.ddns.net;42000;000;
53033;ES-APP-NET;RADIO-NETWORK;80.211.78.17;42006;000;
00479;US-Arkansas-NW;Arkansas NW;ysf2.k5ain.com;42002;000;
31691;US-TriStateDMR;Multimode;192.241.160.183;42000;000;
20217;GR-HELLAS-ADN17;HELLAS-ADNDMR;ysf20217.ddns.net;42000;000;
07882;AU-Ballarat-Aust;XLX087;www.ballarat-australia.net;42000;000;
40356;US-KP4BW-YSF;TG3301;kp4bw.ddns.net;42000;000;
13100;DE-Lausitz;LausitzLink;ysf.lausitzlink.de;42000;000;
01921;US-W0SV-SCARC;Waite Park, MN;ku5mc.ddns.net;42003;000;
00468;US-OCARA-XLX468;OCARA YSF XLX;k0gis.bounceme.net;42000;000;
00049;US-XLX049;XLX049 NE Refl;xlx049.dyndns.org;42000;000;
31686;US-MARS;;173.218.27.119;42002;000;
20215;GR-HELLAS-ADN15;HELLAS-ADNDMR;sv2hwl.ddns.net;42000;000;
07770;US-JesusSaves;HighestPower;innet.tplinkdns.com;42777;000;
40324;US-Texas-SADRC;C4FM Fusion;mnwis-ysf.ddns.net;42006;000;
13070;US-NWMO;NW Missouri;66.255.211.202;42000;000;
01907;GB-Scout-Radio;Scout Radio Ne;ysf.scoutradio.network;42002;000;
00440;US-REPDOM;Allstarlink;46818.ip.hamvoip.org;42000;000;
51502;PH-DX1ACE;CAVITE ACE;144.202.119.249;42000;000;
31678;US-CVDIGITAL;W4CVR WNC;155.138.229.19;42000;000;
53594;US-Ohio;Ohio Statewide;ysf.n8qq.com;42000;000;
20212;GR-C4FM-GROUP;GR-C4FM-REFL;sv1ftu.homeip.net;42000;000;
07682;GB-SOTA;GB SOTA;ysf.gb-sota.radio;42008;000;
40283;US-OR-TALENT;USORTALENT;54.203.127.20;42000;000;
13042;US-TEXAS-MRN;US Texas MRN;71.11.197.90;42000;000;
01906;PL-XLX778;XLX reflector;77.237.7.125;42000;000;
00439;IT-XLX439;XLX reflector;italyi4multip.ddns.net;42000;000;
31675;US-REF020A;Link REF020A;ysf020.kb2ear.net;42100;000;
20210;GR-HELLAS-ADN10;HELLAS-ADNDMR;ysf20210.ddns.net;42000;000;
07588;DE-DL-Hamburg;Hamburg-City;93.240.83.53;42000;000;
00436;NI-URF436;URF436;74.48.151.122;42000;000;
40045;US-NEKRoom;NorthEastKS;143.198.137.222;42000;000;
13041;US-TEXAS-MRN-X;US Texas MRN;45.33.22.225;42000;000;
01793;GB-XLX179;RPI3;31.127.24.191;42000;000;
51505;US-CNARN;CNARN;149.28.211.10;42000;000;
53635;DE-XLX635;XLX reflector;xlx.dl4ybg.de;42000;000;
00420;CA-VE2SUS-REF;VE2SUS REF420;ref.ve2sus.com;42000;000;
31672;US-Pi-Star-Multi;Pi-Star Multi;213.171.214.2;42000;000;
20200;GR-MULTIMODE;GR-MULTIMODE;reflector.freedmr.gr;42007;000;
07580;US-MiamiHams;neweraofham;104.12.71.209;42002;000;
40034;ES-YSF-GALICIA;YSF-GALICIA;46.183.113.58;42000;000;
12920;PR-KP3AV-Systems;Puerto Rico;ysf.kp3av.net;43000;000;
01715;XX-CT-GARRAF;GARRAF;81.169.158.155;42001;000;
00069;GB-CQ-NW;cqnorthwest;ysf.cq-nw.uk;42000;000;
00415;US-xlx415;3808 ragchew;kj6vrc.com;42000;000;
00061;GB-OARC-Bridge;OARC Bridge;xlx.bridge.oarc.uk;42000;000;
31620;PR-LA-ISLA;FDMR TG-3162;47.134.16.71;42005;000;
20070;NL-Hobbyscoop;hobbyscoop.nl;fusion.pi9noz.hamnet.nl;42000;000;
07489;UY-MIAMI-LATINO;Miami Latino;wiresx.cx1rv.com;42000;000;
39639;JP-XLX639;XLX639W;xrf639.mydns.jp;42000;000;
12829;US-HOODSTOCK;;108.192.158.177;42000;000;
01714;XX-CT-CATALANA;CATALUNYA;81.169.158.155;42000;000;
00409;US-XLX409;3808ragchew;w6tnt.com;42000;000;
51506;PH-DX8O;DX8O;162.212.157.189;42500;000;
31611;US-SOCAL-PINOY;XPR NETWORK;47.39.85.180;42001;000;
20012;XX-XLX124;Module Y;211.14.169.234;42000;000;
07388;CA-VE2MRC;Montreal - Fr;70.53.240.80;42003;000;
39510;XX-Canada-FR;Canada-FR;151.80.143.185;42001;000;
12693;US-XLX693;Souche QQ YSF;82.165.1.21;42000;000;
01689;PA-PANAMA-HUB;YSF Bridge;panamahub.ddns.net;42000;000;
00403;CA-xlx403;XLX403;xlx403.qsl.me;42000;000;
51509;PH-DX1KPH;KAPIHAN-PH;130.51.20.215;42000;000;
31585;IT-YSF-NORD;ITA-NORD-IQ2AQ;ysfitalynord.dyndns.biz;42000;000;
20002;IT-XLXJDV;XLX TEST;xlxjdv.freedmr.it;42000;000;
07373;US-MEADOW-QSO;MEADOWLAKES CA;k6rbjhamshack.ciscofreak.com;42005;000;
00400;BR-URF400;URF400;18.230.204.181;42000;000;
39393;JP-XLX393;XLX393Y;xrf393.mydns.jp;42000;000;
12479;US-Kansas-City;WX-MOKAN-21899;ux1.salaman.org;42000;000;
01651;US-WA3VHL;WA3VHL BRIDGE;207.44.108.246;42000;000;
00361;US-XLX361;FLA MALL AREA;144.202.24.194;42000;000;
31551;US-DUNoW;DUNoW Reflctr;3103.amcomm.network;42000;000;
19960;UA-Dnepr-YSF;DMR TG25504;ysf25504.uw0wu.com;42003;000;
07274;GB-RARG;RustingtonARG;ysf.rarg.uk;42008;000;
39055;IT-Multi-Hop;MultiHop Net;xlx.multihop.network;42000;000;
12396;US-XLX396;Lattuga QQ;xlx396.lattuga.org;42000;000;
01527;GB-M0NDA;Home reflector;maythorn.myddns.me;42002;000;
00344;US-XLX344;K6EGG Live;k6egg.hamradio.one;42000;000;
31501;US-FloridaKey;;64.23.235.209;42000;000;
19941;US-US-WV-LINK;WV Link;142.93.246.87;42000;000;
07224;AR-CONF-NAUTICA;Conf. Nautica;18.217.110.8;42000;000;
38802;DK-Korsor-Chat;Korsor Chat;13.237.195.56;42010;000;
12345;US-K9EQ;K9EQ-Test;167.99.150.253;42005;000;
01467;BR-PY4ARR;Minas;189.90.244.29;42020;000;
00335;US-XLX335;Fusion;144.202.61.208;42000;000;
51511;PH-DX1MK;DX1MK MARS;dx1mk.ysf.kapihan.network;42000;000;
31495;US-UTAHDRN-05;;ammermon.lorexddns.net;42001;000;
19669;US-Penn-Link_3;XLX545B;3.215.215.169;42002;000;
07223;AR-ARG-NETWORK;LINK TG 7223;170.187.157.191;42020;000;
38762;PH-TAGPUAN;Repakolz;camp.n6tpm.net;42000;000;
12343;GT-XLX502;XLX502;200.94.250.24;42000;000;
01466;BR-YSF-Minas;TG-72431 M.Sul;189.90.244.29;42000;000;
00322;US-00322;Grupo Magellan;50.116.8.61;42000;000;
31491;US-UTAHDRN-01;Utah 01;utah01.utahdrn.org;42001;000;
19540;US-W9DMC;W9DMC YSF;70.238.253.25;42000;000;
07222;AR-ROSARIO-7222;LU5FB CRR;186.123.96.24;42001;000;
00309;US-XLX309;XLX 309;xlx.ke4tzn.com;42000;000;
38469;US-RuralMN-707;RuralMN-707;707ysf.kd0ioe.com;42000;000;
12178;GB-XLX178;XLX178;80.229.161.124;42000;000;
01456;UA-IFrankovsk;DMR TG25509;ysf25509.uw0wu.com;42008;000;
51515;PH-DX2AFP;DX2AFP;107.152.44.121;42000;000;
00305;RU-URFR61;URFR61;xlx.radioclub61.ru;42000;000;
31490;US-UTAHDRN-00;Utah 00;utah00.utahdrn.org;42000;000;
19525;CL-EMCOMM;TG 730911;sdradio.cl;42001;000;
07221;AR-RMDV-7221;RMDV;ysf.rmdv.org;42000;000;
38400;DE-2sk;2sk Talk;ysf.2sk.de;42000;000;
12122;GB-MARMITE;Marmite;90.204.143.115;42003;000;
01453;TR-URFTRK;URFTRK;ysf.pistar.com.tr;42000;000;
00303;US-303-N-COLO;00303_Colorado;3.22.106.87;42000;000;
31473;US-TARA-Bridge;TARA Bridge;172.105.153.86;42000;000;
19500;HU-Kemenesalja;Kemenesalja;91.147.223.2;42000;000;
07161;PE-XLX716;Peru Digital;xlx716.dmr-peru.net;42000;000;
00038;US-XLX038;BM TG 302050;xlx038.dyndns.org;42000;000;
38363;JP-XLX781;XLX781;101.143.242.199;42000;000;
12121;GB-SDAWARG;sdawarg.org;90.204.143.115;42002;000;
01337;US-Beat-Navy;Beat Navy!;ysf.vnutz.com;42395;000;
00055;PL-Kurpie;YSF Kurpie;51.83.134.240;42020;000;
00302;GB-Defiance-UK;Defianceisaart;82.20.164.252;42000;000;
00054;PL-XLX054;XLX054;xlx054.ddns.net;42004;000;
51516;PH-DZ1REC;DZ1REC;88.222.244.67;42000;000;
31470;US-TylerNet;TylerNet;xlxtyl.itsmith.com;42000;000;
00032;LU-XLX032;Hosted by RL;xlx032.epf.lu;42000;000;
19300;US-CARC-DIGITAL;XLX193;xlxdigiradio.com;42000;000;
07160;PE-YSF-PERU;Peru Digital;ysf.dmr-peru.net;42000;000;
00070;BR-SAO-PAULO;SAO-PAULO;c4fm.com.br;42001;000;
38145;PL-HBL-MultiLink;Multimode Link;ysf.hblink.network;42000;000;
12096;CW-ToyTronNet;Sunny Curacao;ysf.toytron.com;42000;000;
01234;GB-Staffordshire;XLX234;82.165.7.197;42000;000;
00300;BR-URF300;URF300;200.150.207.27;42300;000;
31444;US-RI-DIGITALINK;RI DIGITALINK;155.138.201.254;42000;000;
19054;US-URFOKA;URFOKA;155.138.236.64;42000;000;
07159;UA-EmergencyWest;DMR TG25599;ysf25599.uw0wu.com;42016;000;
00294;MK-XLX294;XLX Reflector;84.74.144.7;42000;000;
37832;NL-YSFRFR;PD3-ReFlectoR;dv.pd3rfr.nl;42001;000;
12018;US-Val-County-ID;Val County ID;38.18.68.3;42300;000;
01233;US-STARVALLEY-WY;N7MSM-YSF;198.71.60.79;42000;000;
51517;PH-DZ1PUP;DZ1PUP;88.222.244.67;42001;000;
00280;CY-CYPRUS-DV;CY-CYPRUS-DV;reflector.freedmr.gr;42003;000;
31431;ES-ES_YSF_CTR;CANARIAS-TENER;zeniacosta.ddns.net;42000;000;
19053;US-OklahomaLink;OklahomaLink;3.208.70.29;42000;000;
06864;US-Penn-Link_1;XLX045A YSF;54.85.206.3;42000;000;
37733;US-US-WestSide;Waukesha, WI;ysf.corgiat.com;42002;000;
12014;BE-YSF-Begium;YSF Belgium;173.212.223.187;42002;000;
01012;GB-XLX012;XLX Reflector;xlx012.uk.pe;42000;000;
00270;LU-XLX270;LX Reflector;xlx270.epf.lu;42000;000;
31394;US-SW-Ohio;SW Ohio;ysf-31394.ka1vsc.com;42000;000;
18829;CN-DRCC-01;TG 460501;47.104.177.248;42000;000;
06734;ES-ISLA;ISLA YSF;isla.myddns.me;42001;000;
37666;IT-MonitorCDPDXT;CDP DX Team;iw2noy.ddns.net;42000;000;
11710;US-11710-ERLI-NY;Emerg Radio LI;sbanetweb.com;42000;000;
01003;GB-XLX003;XLX Reflector;xlx-003.uk.pe;42000;000;
00269;DE-URF269;URF269;urf269.26269.de;42000;000;
00031;GB-Wales-Chat;All welcomed.;mw0jyy.myddns.me;42500;000;
51521;PH-DX2BSP;DX2BSP;107.152.37.22;42000;000;
31393;US-WX8CLE;CLE WX;64.176.222.98;42002;000;
18807;MY-YSF-Malaysia;YSF Malaysia;xlx.lucifernet.com;42000;000;
06733;ES-CIMA;CIMA YSF;isla.myddns.me;42000;000;
37500;BY-BY-MultiMode;BY MultiMode;xlx375.bfrr.by;42000;000;
11704;GB-SW-LANCS;GB3OA SWLANCS;ysfreflector.gb3oa.org.uk;42000;000;
01000;ES-LA-CAMPA;ADN TG 21472;la-campa.es;42000;000;
00260;DE-AFu-Kiel;;xlx.afu-kiel.de;42000;000;
31379;US-PIEDMONT;US-PIEDMONT;130.51.21.160;42000;000;
18503;US-SpaceCityChat;General Chat;108.209.70.215;42005;000;
06723;MV-SH-SHLK;;222.67.28.56;42006;000;
00252;GB-XLX042---WDRG;WDRG;de9956.ddns.net;42000;000;
37398;US-RFARC;RFARC YSF C4FM;rfarcclub.duckdns.org;42000;000;
11689;US-AMSAT;Satellite Ops;149.28.241.59;42000;000;
00998;GB-Experimental;Try me...;82.165.6.239;42000;000;
51522;PH-PINOYLINK;PINOYLINK;207.246.97.183;42000;000;
00241;DE-HRT;Funknetz NRW;xlxhrt.camdvr.org;42000;000;
31357;US-WU3K;US WU3K;ysfusion.ddns.net;42000;000;
18470;ES-EA-EXTREMADUR;EXTREMADURA;ysfextemadura.c4fm.es;42002;000;
06641;GB-JURASSICFU;JurassicFusion;141.195.179.125;42003;000;
37274;US-ky4xfusion;KY4XYSF.US.KY;ky4xfusion.ddns.net;42002;000;
11198;US-US-Alabama;Alabama;96.47.95.121;42012;000;
00984;US-XLX984;XLX984;xlx984.hamradio.services;42000;000;
00239;US-URF239;URF239;urf239.whocaresradio.com;42000;000;
31340;US-CNJHAM;XLX020D Link;ysfreflector.kb2ear.net;42000;000;
18164;HU-Balaton;YSF Balaton;5.189.162.5;42200;000;
06487;US-RagChew-Link;TGIF: 6487;142.93.122.88;42000;000;
37200;US-XLX372;Test Reflector;xlx372.kf0lpt.com;42000;000;
11193;RU-RADIOCULT;RADIOCULT.SU;ysf.radiocult.su;42000;000;
00977;GB-NWRG;NW Rpt Group;xlx.nwrg.org.uk;42000;000;
00238;DK-Nordjylland;qsoNordjylland;188.228.111.106;42002;000;
51525;PH-DX2KPH;DX2KPH;107.152.35.83;42000;000;
31337;DE-Foerdefunk;;xlx.foerdefunk.de;42000;000;
18044;ES-TECNICO-Y-MAS;ES TECNICO;185.166.212.132;42002;000;
06040;US-NorCalRptGrp;NorCalRptGrp;ysf06040.w6ek.net;42000;000;
00029;US-Adirondack;Adirondacks NY;135.148.149.42;42000;000;
37021;US-LAST-FRONTIER;;xlx327.from-ak.com;42000;000;
11184;US-NA0D-AR;NA0D Reflector;ysf.na0d.com;42003;000;
00970;US-970-N-COLO;00970_Colorado;WD0HDR.com;42000;000;
00235;GB-CQ-UK-YCS235;001-CQ-UK;213.229.72.163;42000;000;
00028;US-RAMSES-USA;Worldwide;germering.dnsuser.de;42007;000;
51530;PH-DX3H;DX3H.org;107.152.47.30;42000;000;
31335;US-XLX895;K2LTU v2 Multi;xlx.laukas.lt;42000;000;
17947;US-Penn-Link_7;XLX045C;54.85.206.3;42002;000;
05579;IT-IT-PERAZZA;IT-DMR Testing;iz6rnd.it;42000;000;
00231;IT-XLX231;TG22202-BM;xlx.is0.org;43000;000;
36940;US-Doghouse;Doghouse;doghouse.servebeer.com;42001;000;
11113;PL-LESZNO;LESZNO;178.183.82.24;42000;000;
00969;US-LGBTQ;LGBTQIA+ HAMS;209.222.4.140;42005;000;
00027;PR-KP3AV-Systems;Puerto Rico;ysf.kp3av.com;43000;000;
00030;DE-Nordlink24;nordlink24.de;44.149.156.199;42000;000;
00006;GR-HELLAS-Zone-A;(YCS202);hellaszone.com;42000;000;
00224;IT-224;ARI IMPERIA;ysf.iu1olu.it;42000;000;
23454;GB-CQ-N-Ireland;CQ-N-Ireland;ysf.ni.cqnorth.org.uk;42006;000;
27222;AR-AR-CIRCULO;ROSARIO LU5FB;186.123.96.24;42000;000;
31320;US-IRN;IRN;digital.irn.radio;42000;000;
46020;CN-YSF-TG46020;YSF_BM_TG46020;8.163.29.23;42000;000;
43566;CA-YSFDEV;YSF DEV;dev.ysfreflector.ca;42397;000;
23453;GB-CQ-Scotland;CQ-Scotland;ysf.scot.cqnorth.org.uk;42005;000;
31303;AR-ARG-ROOM;YSF by ArgRoom;186.123.100.105;42003;000;
27187;ES-ANDALUCIA;ANDALUCIA;sala-andalucia.es;42000;000;
23452;GB-CQ-North-West;CQ-North West;ysf.nw.cqnorth.org.uk;42004;000;
31301;CZ-YSF-PRAHA;CZ-YSF-PRAHA;185.32.183.148;42000;000;
27182;US-K7LPK;;lpk.mynetgear.com;42002;000;
46023;CN-CKG-TG46023;YSF_BM_TG46023;47.109.55.52;42005;000;
43567;CA-FARC;Frontenac R.Gr;farc.ysfreflector.ca;42396;000;
23451;GB-CQ-North-East;CQ-North-East;ysf.ne.cqnorth.org.uk;42003;000;
31291;US-SW-Missouri;SW Missouri;mspencer.ddns.net;42006;000;
27075;NL-NL-Zeist;test;84.107.219.155;42000;000;
23450;GB-CQ-North;CQ-North;ysf.cqnorth.org.uk;42000;000;
31269;US-WMTG;West Michigan;44.15.66.5;42000;000;
27003;IT-YSFROOM-ITALY;WIRES-X ITALY;ysfroomitaly.iw2gob.it;42000;000;
46027;CN-BR6QBD-WUHAN;BR6QBD-WUHAN;119.98.98.163;42000;000;
43568;CA-HARC;Heritage R. Gr;harc.ysfreflector.ca;42395;000;
23438;MX-Garnacheros;Garnacheros;ragacosta.ddns.net;42000;000;
31238;US-Foxhole2;Foxhole2;xlx.foxhole.radio;42000;000;
26802;PT-pYSF3;MultiStream;pysf-pt.brandmeister.pt;42000;000;
23436;MX-MEXICO;MEXICO-C4FM;148.135.96.174;42006;000;
31226;US-XLX146;Bible Talk;216.225.195.109;42000;000;
26801;PT-C4FM;YCS268;ycs268.from-ct.com;42000;000;
46028;CN-DZ-BI8AQ;BI1LYT-BM46028;47.108.229.231;42001;000;
43646;PH-CVARRN;Cagayan Valley;107.152.47.139;42000;000;
23427;GB-LDPARC;Club Reflector;193.237.215.185;42000;000;
31225;US-LAGRANFAMILIA;REFLECTOR31225;108.50.254.100;42010;000;
26765;IT-CrazyHorse;;109.239.250.3;42001;000;
00023;PL-XLX004;XLX004;192.109.241.46;42000;000;
43534;US-43534;Grupo Magellan;173.255.245.73;42000;000;
00026;GB-YorkshireUK;YorkshireNet;ysf01.qsos.uk;42005;000;
00025;PL-XLX017;XLX017;51.83.186.28;42054;000;
23426;GB-FreeSTAR-UK;FreeSTAR UK;ysf.freestar.network;42024;000;
31213;US-SOKY-RAGCHEW;SO KY Ragchew;soky.online;42000;000;
26550;FR-YSF-JURA;C4FM/DMR LINK;ysf-jura.fr;42395;000;
00022;US-XLX022;CRRG Reflector;xlx022.hamradio.services;42000;000;
46055;CN-zhejiang;BM-TG46055;221.12.6.196;42003;000;
43650;PL-SR4LIN;Jerzwald;185.16.32.176;42002;000;
23201;AT-C4FM-Austria;YCS Austria;ycs232.oevsv.at;42000;000;
31207;US-Sunflower-Net;Kansas YSF Ref;155.138.244.192;42000;000;
26538;DE-Nordharz;Reg Nordharz;ysf.nordharz.link;42222;000;
23160;US-URF720;URF720;xlx720.parkerradio.org;42000;000;
31188;US-XLXSIN;XLX Reflector;64.112.234.163;42000;000;
26486;DE-Draussenfunk;Draussenfunker;ysf.dl0at.de;42386;000;
46063;CN-CN-BD8DJU;;119.3.212.170;42000;000;
43672;US-KB7DFP;KB7DFP;quark.mywire.org;42000;000;
23053;IT-YSF-SVXLINK;ITA-IQ2AQ;ysfitalynord.dyndns.biz;42229;000;
31182;US-URFIND;URFIND;na9vy.us;42001;000;
26455;DE-ighamspirit;IGHamspirit eV;88.99.161.205;42000;000;
23021;CA-XLXCAN;XLX reflector;ottawa-dvswitch.ddns.net;42000;000;
31181;US-URF181;URF181;na9vy.us;42000;000;
26447;DE-YSF-26447;XLX508J;104.156.136.8;42000;000;
00021;JP-JAPANLINK;Japanlink;japanlink.xreflector-jp.org;42000;000;
46098;CN-BI4PCS;TG46001;123.60.74.175;42000;000;
43678;CO-HK-ROOM;Colombia;hk3mrj.ddns.net;42199;000;
00020;NL-NLCENTRAL;Dutch reflecto;c4fm.digitalevoice.nl;42000;000;
23020;CA-Ottawa-Ont;Canada Link;ysf-ottawa.ddns.net;42000;000;
31126;US-Nassau-Co.-FL;Nassau FL YSF;73.171.149.79;42005;000;
26446;DE-YSF-26446;XLX508G;104.156.136.8;42001;000;
00019;XX-HUBNet;HUBNet;xlx.hubnetwork.uk;42000;000;
23018;US-IL-Chicago-Lk;IL- Chicago-Lk;161.35.5.229;42020;000;
31120;US-FLORIDA-KEYS;Keys-MIAMI;82.223.204.29;42011;000;
26444;DE-Inselfreunde;BM-TG26444;116.203.56.12;42444;000;
46099;CN-BI4PCS-C4FM;C4FM TG460688;123.60.74.175;43000;000;
43715;KZ-XLX888;XLX reflector;un1eak.svx03.kz;42000;000;
22905;IT-RAGUSA;IT-C4FM-RAGUSA;seeg.ddns.net;42000;000;
31051;US-Arkansas;Arkansas State;31051.amcomm.network;42001;000;
26395;DE-Raute;No Britge;raute.goip.de;43000;000;
22890;IT-22890;CONF. ITALIA;185.203.119.133;42000;000;
31022;US-Amerinet;;159.203.177.35;42000;000;
26390;DE-Neumarkt;XLX890;xlx890.goip.de;42000;000;
46239;US-GEOTXHAMS;GA TX HAMS;45.76.255.163;42099;000;
43743;GB-GB1RY;Ramsbury AR DX;80.229.236.159;42000;000;
22856;CH-SWISSLINK;SWISSLINK YSF;ysf.hb3xdb.ch;42000;000;
31016;US-NW-Alabama;NW Alabama;96.47.95.121;42013;000;
26385;DE-Jura;Bridge;jura.goip.de;42000;000;
00018;BR-REF018;REF018;ref018.dstar.com.br;42000;000;
00017;BR-XLX008;XLX008;xlx.py1ip.com;42000;000;
22828;CH-CH-228-Swiss;CH 228 Swiss;ysf.hb-connect.ch;42000;000;
31015;US-XLX963;XLXtest W5YIU;www.w5yiu.com;42000;000;
26368;GB-qso365;QSO365;212.159.79.56;42002;000;
46301;US-CW-OPS;CW-OPS YSF;ysfcwops.dyndns.org;42002;000;
43844;US-Indiana-W9ILS;IN-Link-South;66.42.118.123;42000;000;
00016;GB-MARRAS;MARRAS;89.240.4.99;42201;000;
22630;UA-Nikolaev-YSF;DMR TG25515;ysf25515.uw0wu.com;42011;000;
31002;US-C4FM-MNTRBO;YCS311;c4fm.mnradio.net;42000;000;
26339;DE-XLX339;DE-XLX339;xlx339.de;42001;000;
22601;RO-C4FM-Romania;YCS Romania;ipsc.hamnet.ro;42000;000;
31001;US-C4FM-QUADNET;QuadNet YCS;ycs310.xreflector.net;42000;000;
26334;DE-Funknetz-Cell;Funknetz-Celle;85.215.198.111;42000;000;
46371;CN-Zhengzhou;Zhengzhou_YSF;101.201.29.196;42000;000;
43845;US-IN-W9ILS-Back;ILS Backup;ysfdashboard.w9ils.org;42000;000;
22600;RO-Romania-C4FM;Romania YSF;ysf.145500.xyz;42000;000;
31000;US-Severe-WX;US Severe WX;69.62.69.117;42000;000;
26322;DE-D22;D22 YSF;90.187.72.177;42099;000;
22575;IT-C4FM_BAT;;82.85.236.36;42000;000;
30550;BR-C4FM-MG;C4FM-Minas;189.90.244.29;43000;000;
26285;DE-Oberbayern;BM-TG26285;116.203.56.12;42285;000;
46373;CN-Xinxiang;Xinxiang_YSF;101.201.29.196;42001;000;
43906;UA-Emergency-YSF;DMR TG2559;ysf2559.uw0wu.com;42015;000;
00015;PL-XLXPOL;XLX MiniLink;xlx.minilink.pl;42000;000;
22482;HN-HONDURAS;YCS DR2X;212.227.87.198;42378;000;
30458;XX-AnHui-HeFei01;YSF/BM460601;121.37.66.121;42005;000;
26269;DE-DL-HESS-RL;Multimode;ysf-deutschland.de;42376;000;
00014;GB-HUBNet;HUBNet;xlx.hubnetwork.uk;42002;000;
00013;GB-CQ-WORLD;World Wide;81.150.10.63;42500;000;
22480;ES-ARCANGEL;DR-2X CORDOBA;148.135.96.174;42001;000;
30457;CN-AnHui-HeFei02;42000;121.37.66.121;42000;000;
26268;DE-DEU63;Static DGID 63;ysf-deutschland.de;42363;000;
46460;US-XLX460;;xlx460.duckdns.org;42000;000;
43953;US-East-Pipeline;Fusion link;149.28.43.188;42002;000;
22471;IT-XLX971;MIB Reflector;81.57.58.247;42000;000;
30317;US-Melb-FL;Melbourne FL;ysf-flmelbref.ddns.net;42020;000;
26263;DE-ChatGPT;ChatGPT Bot;ysf-deutschland.de;42398;000;
22407;ES-EA-Distrito-7;EA-Distrito-7;212.227.87.198;42007;000;
30300;US-URF303;URF303;coloradodigital.duckdns.org;42000;000;
26260;DE-HessenFM;FM-Funknetz;fm.26269.de;42001;000;
46468;IT-FreeDMR;YSF FreeDMR IT;ysf.freedmr.it;42000;000;
44174;IT-YSF-FVG;ARI FVG RCE;reflector.arifvg.it;42001;000;
11112;PL-POLSKA;;185.254.7.66;42026;000;
22401;ES-EA-C4FM-Spain;(YCS224);ycs224.c4fm.es;42000;000;
30270;PR-PUERTO-RICO;ENLACE BORICUA;ysf.praredn.org;42000;000;
26244;DE-Separee;BM-TG26244;116.203.56.12;42244;000;
00012;GR-XLXQRZ;QRZ  Net;xlxzone.net;42004;000;
22306;GB-GB7EQ;GB GB7EQ UK;88.208.241.94;42009;000;
30198;AR-Bahiadigital;;64.176.19.182;42000;000;
26230;DE-XLX339-B;Hannover;178.254.30.57;42001;000;
00011;GR-HELLAS-Zone-C;CQ Zone;hellaszone.com;42003;000;
46514;PR-NP4PC-YSF;Pepino Link;np4pc.ddns.net;42000;000;
44200;GB-Soccer;Soccer Chat;zorba1970.no-ip.biz;42006;000;
22299;IT-COMMNET;YSF DG_ID 99;185.203.216.4;42020;000;
00010;GR-HELLAS-Zone-B;DX Zone;hellaszone.com;42002;000;
30099;IT-YSF-VALSABBIA;ITA-VALSABBIA;ysfitalynord.dyndns.biz;42302;000;
26202;DE-DC9VQ-Test;Test Reflector;dc9vq.ysf-deutschland.de;42000;000;
00024;PL-XLX024;XLX024;5.185.11.62;42059;000;
22281;IT-IT2-ogliopo;ysf;87.106.176.15;42000;000;
29930;US-URF575;URF575;xlx575.lobo.net;42000;000;
