# YSFHosts.txt
#
# Generated: 2025-06-26 21:01:20 UTC
# by DVRef.com | S. Miller KC1AWV
#
# Format:
# # Designator, Sponsor, Country
# designator;full_name;description;host;port;user_count;

local;local-server;test;127.0.0.1;42000;000
21511;US-KV4S;KV4S;ysf.kv4s.com;42004;000;
21442;ES-EA-Distrito-2;EA-Distrito-2;212.227.87.198;42002;000;
51701;PH-DX1BSP;DX1BSP;45.32.93.221;42000;000;
10231;IT-ITALYNET-CONF;Bridge to ADN;italynet.duckdns.org;42018;000;
00156;US-XLX156;Wheels N Keels;xlx156.duckdns.org;42000;000;
43108;DE-PEGASUS-3;Pegasus-3-Test;148.251.94.163;42003;000;
16726;US-SoTex31482;31482 SoTex;ysf.rgvham.net;42000;000;
04004;ES-INDALO;Almeria;80.211.143.249;42000;000;
00901;GB-Salisbury-HAM;SALISBURY HAM;51.75.162.32;42100;000;
00155;US-TheDive-155;All welcome;thedive155.ddns.net;42000;000;
34610;ES-UREValencia;UREV YSF;ysfea5urv.ddns.net;42000;000;
21441;ES-EA-Distrito-1;EA-Distrito-1;ysfdmr.ysf.es;42000;000;
10200;US-North-America;North America;ysf.dvswitch.org;42000;000;
43056;PR-Boriken;BorikenNetwork;prboriken.ddns.net;42000;000;
16437;GB-hideout;xlx201 C;ukhide.446em.uk;42003;000;
03832;IT-new-refle;new refle;136.244.96.172;42200;000;
00888;US-TG8;Talkgroup 8;96.47.95.121;42008;000;
50524;AU-VK-OZHUB;VK-OZHUB;tg50524-vkozhub.ref.vk44.net;42000;000;
34563;US-Skyscraper;Skyscraper Ref;ref.n9bbm.com;42000;000;
51866;GB-H1L8RE;GB-H1L8RE;h1l8re.ddns.net;42002;000;
21429;ES-RONDA;SERRANIA-RONDA;sala-andalucia.es;42010;000;
10169;US-AD8G-MultiMod;AD8G;ysf10169.ad8g.net;42002;000;
42725;PT-XLX268;XLX268;xlx268.from-ct.com;42000;000;
16385;UA-EchoLink-YSF;DMR TG2556;ysf2556.uw0wu.com;42014;000;
03793;US-STJMO;;38.2.49.247;42000;000;
00872;NL-XLXFLD;FLD Reflector;xlxfld.nl;42000;000;
34149;IT-URFITA;URFITA;urfita.freedmr.it;42000;000;
21424;ES-LEON;C4FM-LEON;148.135.96.174;42009;000;
10069;ES-IBERIA;Grupo ELITE;grupoelite.es;42001;000;
42500;US-PCRRN-YSF;PCRRN-XLX425;149.28.254.70;42000;000;
15742;JP-YSF-NAGOYA;YSF-NAGOYA;122.132.48.12;42000;000;
03732;US-DRUMLINSARC;DARC-WAYNECONY;98.3.125.21;42003;000;
00870;NL-XLX870;3.5m reflector;xlx870.nl;42000;000;
50535;AU-Pride;Pride Network;p25tg50535.vkradio.com;42001;000;
34108;KR-007-YSF;KR 007-YSF;180.83.118.197;42003;000;
51903;PH-NA7LV;NA7LV;na7lv.n6tpm.net;42000;000;
21410;ES-YSF214;YSF-214;212.227.87.198;42014;000;
10010;CN-BJ-XLX074K;BM TG46010;222.128.4.82;42004;000;
42450;US-N1YKT-HUB;N1YKT YSF HUB;137.184.28.141;42020;000;
15734;GB-M5SJM;M5SJM;ysf.mcbainsite.co.uk;42002;000;
03711;US-HAYABUSA3;US HAYABUSA 3;64.121.61.109;42002;000;
00867;US-XLX867;NH XLX867;71.233.238.134;42000;000;
00950;LU-XLX950;XLX developer;xlx950.epf.lu;42000;000;
33975;CL-REDLA;Red Americas;sdradio.cl;42003;000;
21406;ES-EA-Distrito-6;EA-Distrito-6;ysfdmr.ysf.es;42006;000;
10007;US-10007;;104.200.25.174;42000;000;
00847;US-URF847;URF847;98.171.104.209;42000;000;
42400;FR-XLX-424-ysf;C4FM for xlx;31.32.149.4;42000;000;
15642;ES-REM-SPAIN;YSF Reflector;80.211.163.139;42000;000;
03560;JP-XLX698;XLX698 Y;203.137.123.89;42000;000;
50536;AU-Module-X;Module-X YSF;p25tg50536.vkradio.com;42002;000;
52137;US-XLX137A;XLX137A;xlx137.mywire.org;42001;000;
00844;DE-XLX844;Rheinland-M.;dv.afu.rwth-aachen.de;42000;000;
33581;US-YSF-NetTalk;NetTalk YSF;ysfnettalk.dyndns.org;42001;000;
21405;ES-EA-Distrito-5;EA-Distrito-5;212.227.87.198;42005;000;
10001;US-Hang-Out;Place to chat;n6kma3.ddns.net;42004;000;
42274;US-KY-CQ-LOUISVI;Lou KY Network;ysf.bruenderman.org;42000;000;
15509;CA-LONDON-ON-YSF;SW Ont Ragchew;209.142.25.73;42005;000;
03400;US-3400-Digital;3400 Digital;reflector.3400digital.net;42000;000;
00827;US-XLX827;Houston XLX827;xlx.kd5dfb.net;42000;000;
33486;FR-URF486;URF486;171.33.87.233;42000;000;
21403;ES-EA-Distrito-3;EA-Distrito-3;ysfdmr.ysf.es;42003;000;
10000;US-USAF-Cop-Shop;Place to chat;n6kma3.ddns.net;42005;000;
42270;FR-YSF-TEST;pYSF3;nws.ysf-france.fr;42070;000;
15461;PT-YSF903;YSF903;pysf-pt.brandmeister.pt;42214;000;
03197;CA-xlx197;;xlx197.dyndns.org;42000;000;
00814;US-US-XLX814;SCARC System;44.199.151.113;42000;000;
50544;AU-VK44-TG50544;VK44-TG50544;tg50544.ref.vk44.net;42000;000;
33455;US-NWOARC-WB8ULC;NWOARC-WB8ULC;96.47.95.121;42007;000;
52375;ES-RadioX;radiox.network;radiox-hub2.ddns.net;42000;000;
21402;ES-ALBACETE;ALBACETE;80.211.78.17;42375;000;
09823;IT-YSF-GARDALAKE;ITA-GARDALAKE;ysfitalynord.dyndns.biz;42300;000;
42262;FR-YSF-TG20862;pYSF3;nws.ysf-france.fr;42262;000;
15401;US-XLX960;White Channel;104.153.109.233;42000;000;
03196;CA-xlx196;197 Backup;xlx196.dyndns.org;42000;000;
00803;US-XLX803;XLX reflector;xlxcloverradio.digital;42000;000;
33068;PR-BACALAO;Ponce-PR;24.144.86.26;42002;000;
21335;US-WM-Connect;Wires-X 21335;bakysf.hamfusion.com;42000;000;
09815;PL-XLX132;D-Star Gateway;xlx132.dstar.radom.pl;42001;000;
00777;US-CO-W.A.R.S.;Weld Amateur R;149.106.124.255;42021;000;
42206;IT-CommNet-99;CommunityNet-9;xlxaras.duckdns.org;42000;000;
15072;PH-SUGBO;SUGBO;45.32.34.111;42000;000;
03184;US-HAYABUSA2;US HAYABUSA 2;64.121.61.109;42001;000;
50556;GB-ANZEL;Multimode;ysf.anzel.radio;42000;000;
32888;US-FireSideRadio;FiresideRadio;ysf.firesideradio.org;42000;000;
52500;US-XLX525-FCARC;FCARC;xlx525.webhop.net;42000;000;
00768;PT-YSF768;HamRadioPT YSF;ysf.hamradio.pt;42000;000;
21313;AD-YSF-ANDORRA;YSF ANDORRA;ip.adan.ovh;42503;000;
09733;US-N4FOX;N4FOX - MID TN;n4fox.ddns.net;42002;000;
00122;GR-XLX122;XLX122 YSF Ref;194.37.80.40;42000;000;
42164;US-N1KY-KY-42164;Scottsville.KY;ysf.emmitt.com;42000;000;
15043;PH-DX7HQ;DX7HQ;202.182.100.80;42000;000;
03181;US-NEWENGLAND;New England;ysf03181.w1jar.net;42002;000;
00135;GB-XLX135;XLX135;45.92.44.246;42000;000;
00134;PL-XLX134;XLX134;51.83.134.240;42000;000;
00767;US-CO-Loveland;KN6VV-Loveland;149.106.124.255;42022;000;
00121;IT-XLX121;Reflector Mult;95.249.177.72;42000;000;
32768;US-SouthCoastRef;SouthCoastRef;ysfr.southcoastreflector.com;42050;000;
21310;AD-C37AC;ARDAM YSF;ardam.homelinux.net;43000;000;
09658;PT-YSF915;YSF915;pysf-pt.brandmeister.pt;42216;000;
42076;FR-YSF-VWIDE;pYSF3;nws.ysf-france.fr;42276;000;
14711;GB-0-DVSPh;DVSPh Multi;ysf.dvsph.uk;42000;000;
03145;US-SouthCarolina;South Carolina;96.47.95.121;42011;000;
00758;JP-xlx758;;xlx758.0t0.jp;42000;000;
00123;DE-XLX123;Transcoding;xlx.home64.de;42000;000;
00139;US-XLX139-Maine;XLX139 Maine;xlx139.dyndns.org;42000;000;
50561;AU-VK44-TG61;VK44-TG61;tg61-yhsm.ref.vk44.net;42000;000;
32749;AU-XLX751;;142.171.175.163;42000;000;
52535;GB-Romsey-UK;GB-Romsey-UK;ysf.m0kcl.com;42000;000;
21277;US-277-Relector;MultiMode;67.207.37.195;42000;000;
09627;CL-YSF;CHILE-LINK;sdradio.cl;42002;000;
42059;FR-YSF-Adrasec;pYSF3;nws.ysf-france.fr;42259;000;
14670;US-OCARA;Otoe County NE;k0gis.bounceme.net;42002;000;
03139;IT-YSF-IZ0RTP;YSF IZ0RTP PG;multiprotpg.ddns.net;42002;000;
00751;PR-LA-ISLA-2;FDMR TG31120;47.134.16.71;42004;000;
32748;NZ-XLX750;XLX750 Y;203.86.206.49;42000;000;
21235;DE-PEGASUS-2;Pegasus-2;148.251.94.163;42002;000;
09579;US-RVLifestyle;RV Chats;45.76.31.96;42000;000;
00739;US-BROADNET-NYC;BRONX NY;ysf.ke2aem.com;42000;000;
42041;FR-YSF-DPT41;pYSF3;nws.ysf-france.fr;42241;000;
14561;GB-CCARC;Cross Counties;reflector.2e0wwv.net;42002;000;
03097;US-3.907-Group;3.907 Group;3907.hamradio.one;42000;000;
50562;AU-VK44-TG62;VK44-TG62;tg62.ref.vk44.net;42000;000;
52546;US-YSF52546;BR 5200864;ysf52546.mywire.org;42002;000;
